,B,F,N,scatter_add_bw,scatter_add_fw,scatter_mean_bw,scatter_mean_fw,split_bw,split_fw,split_mean_bw,split_mean_fw,spmv_add_bw,spmv_add_fw,spmv_mean_bw,spmv_mean_fw
0,20,50,10,0.0001595,0.0000988,0.0001695,0.0001571,0.0004037,0.0004111,0.0005061,0.0005127,0.0005656,0.0003769,0.0005581,0.0003781
1,20,100,10,0.0001554,0.0001036,0.0001687,0.0001614,0.0004054,0.0004118,0.0005054,0.0005127,0.0005561,0.0003746,0.0005520,0.0003759
2,20,200,10,0.0001565,0.0001052,0.0001685,0.0001616,0.0004060,0.0004120,0.0005064,0.0005120,0.0005574,0.0003742,0.0005520,0.0003763
3,20,50,50,0.0001522,0.0001019,0.0001666,0.0001585,0.0003993,0.0004064,0.0004924,0.0005113,0.0005714,0.0003927,0.0005698,0.0003937
4,20,100,50,0.0001532,0.0001006,0.0001649,0.0001575,0.0003973,0.0004027,0.0004912,0.0005070,0.0005682,0.0003863,0.0005666,0.0003881
5,20,200,50,0.0001507,0.0001017,0.0001624,0.0001575,0.0003931,0.0003997,0.0004915,0.0005037,0.0005631,0.0003835,0.0005618,0.0003850
6,20,50,250,0.0001496,0.0001046,0.0001650,0.0001565,0.0003968,0.0004003,0.0004958,0.0005048,0.0006599,0.0005376,0.0006543,0.0005265
7,20,100,250,0.0001530,0.0001115,0.0001649,0.0001556,0.0003951,0.0004003,0.0004905,0.0005031,0.0006464,0.0005193,0.0006435,0.0005202
8,20,200,250,0.0001515,0.0001225,0.0001634,0.0001576,0.0003941,0.0004019,0.0004928,0.0005041,0.0006488,0.0005254,0.0006432,0.0005252
9,20,50,1500,0.0001562,0.0002492,0.0001670,0.0002559,0.0004004,0.0004175,0.0005029,0.0005159,0.0009781,0.0016570,0.0009735,0.0016621
10,20,100,1500,0.0001854,0.0003644,0.0001958,0.0003703,0.0004114,0.0004160,0.0005344,0.0005138,0.0010572,0.0012963,0.0010526,0.0012993
11,20,200,1500,0.0002518,0.0005237,0.0002641,0.0005294,0.0004517,0.0004138,0.0005839,0.0005067,0.0012600,0.0013170,0.0012556,0.0013194
12,80,50,10,0.0001502,0.0001020,0.0001649,0.0001582,0.0011598,0.0013328,0.0014825,0.0017453,0.0005600,0.0003745,0.0005606,0.0003741
13,80,100,10,0.0001500,0.0001054,0.0001650,0.0001610,0.0011618,0.0013287,0.0014744,0.0017488,0.0005566,0.0003690,0.0005572,0.0003694
14,80,200,10,0.0001476,0.0001129,0.0001623,0.0001692,0.0011532,0.0013371,0.0014625,0.0017598,0.0005530,0.0003698,0.0005505,0.0003687
15,80,50,50,0.0001569,0.0001037,0.0001734,0.0001596,0.0011725,0.0013302,0.0014800,0.0017440,0.0006457,0.0004512,0.0006445,0.0004449
16,80,100,50,0.0001724,0.0001096,0.0001909,0.0001658,0.0011868,0.0013297,0.0014890,0.0017382,0.0006642,0.0004614,0.0006620,0.0004590
17,80,200,50,0.0001494,0.0001191,0.0001656,0.0001719,0.0011640,0.0013385,0.0014750,0.0017530,0.0006364,0.0004586,0.0006335,0.0004592
18,80,50,250,0.0001736,0.0001299,0.0001904,0.0001625,0.0011682,0.0013303,0.0014703,0.0017411,0.0009113,0.0007974,0.0009135,0.0007967
19,80,100,250,0.0001770,0.0001523,0.0001947,0.0001677,0.0011733,0.0013306,0.0014769,0.0017411,0.0009454,0.0007358,0.0009451,0.0007351
20,80,200,250,0.0002049,0.0001898,0.0002229,0.0001980,0.0011742,0.0013453,0.0015006,0.0017533,0.0010236,0.0007135,0.0010224,0.0007147
21,80,50,1500,0.0002695,0.0006668,0.0002865,0.0006779,0.0012182,0.0013780,0.0015466,0.0017699,0.0026561,0.0029079,0.0026531,0.0029073
22,80,100,1500,0.0004056,0.0011613,0.0004236,0.0011687,0.0013100,0.0014080,0.0017635,0.0017766,0.0036327,0.0024293,0.0036322,0.0024288
23,80,200,1500,0.0006736,0.0018078,0.0006964,0.0018158,0.0014808,0.0014430,0.0019653,0.0017876,0.0068045,0.0024549,0.0068021,0.0024562
24,400,50,10,0.0001616,0.0001590,0.0001798,0.0002187,0.0051715,0.0065616,0.0067144,0.0086404,0.0006270,0.0004413,0.0006294,0.0004420
25,400,100,10,0.0001574,0.0001758,0.0001755,0.0002419,0.0052648,0.0064964,0.0066264,0.0087455,0.0006204,0.0004517,0.0006230,0.0004486
26,400,200,10,0.0001578,0.0002094,0.0001773,0.0002732,0.0052673,0.0064874,0.0067297,0.0086847,0.0006392,0.0004433,0.0006359,0.0004441
27,400,50,50,0.0001571,0.0001581,0.0001783,0.0002143,0.0052689,0.0065022,0.0067877,0.0086528,0.0008486,0.0006541,0.0008494,0.0006531
28,400,100,50,0.0001633,0.0001891,0.0001855,0.0002361,0.0052743,0.0065116,0.0067593,0.0086889,0.0008986,0.0006525,0.0008975,0.0006501
29,400,200,50,0.0002095,0.0002444,0.0002353,0.0002683,0.0053063,0.0065414,0.0068359,0.0086688,0.0010319,0.0006641,0.0010302,0.0006604
30,400,50,250,0.0002318,0.0002651,0.0002576,0.0002749,0.0053345,0.0064722,0.0068325,0.0086260,0.0022846,0.0016508,0.0022869,0.0016502
31,400,100,250,0.0003493,0.0003746,0.0003801,0.0003825,0.0053785,0.0064439,0.0069324,0.0086236,0.0030354,0.0016069,0.0030381,0.0016065
32,400,200,250,0.0005767,0.0005805,0.0006214,0.0005900,0.0055422,0.0064338,0.0071224,0.0086154,0.0055378,0.0016506,0.0055375,0.0016465
33,400,50,1500,0.0008161,0.0029770,0.0008462,0.0029912,0.0058009,0.0069001,0.0074756,0.0090019,0.0175765,0.0144491,0.0175742,0.0144476
34,400,100,1500,0.0014857,0.0054286,0.0015204,0.0054314,0.0062675,0.0069863,0.0086438,0.0091324,0.0227571,0.0140692,0.0227099,0.0140712
35,400,200,1500,0.0028312,0.0086858,0.0028935,0.0086902,0.0071140,0.0072400,0.0095999,0.0093380,0.0412392,0.0142945,0.0412892,0.0142957
36,2000,50,10,0.0001822,0.0004091,0.0002270,0.0004843,0.0254199,0.0346517,0.0335404,0.0453897,0.0009043,0.0007307,0.0009090,0.0007211
37,2000,100,10,0.0001981,0.0004993,0.0002526,0.0005546,0.0290183,0.0344822,0.0378007,0.0449235,0.0010200,0.0007358,0.0010226,0.0007287
38,2000,200,10,0.0002395,0.0006039,0.0002877,0.0006371,0.0252814,0.0337554,0.0330749,0.0444209,0.0011260,0.0007443,0.0011303,0.0007345
39,2000,50,50,0.0002604,0.0004449,0.0002974,0.0004535,0.0253329,0.0338303,0.0332381,0.0442781,0.0025188,0.0017851,0.0025210,0.0017761
40,2000,100,50,0.0003890,0.0005898,0.0004224,0.0006032,0.0263566,0.0344166,0.0346404,0.0451258,0.0032718,0.0017718,0.0032661,0.0017657
41,2000,200,50,0.0006063,0.0007756,0.0006620,0.0008129,0.0258101,0.0343783,0.0339401,0.0452666,0.0056840,0.0017475,0.0056821,0.0017411
42,2000,50,250,0.0007044,0.0009678,0.0007536,0.0009836,0.0260118,0.0347400,0.0344043,0.0453467,0.0145880,0.0112308,0.0145809,0.0112238
43,2000,100,250,0.0012758,0.0015238,0.0013666,0.0015334,0.0267276,0.0424073,0.0350938,0.0548080,0.0188499,0.0113516,0.0188410,0.0113454
44,2000,200,250,0.0023949,0.0024683,0.0025611,0.0024837,0.0273935,0.0356421,0.0358348,0.0463416,0.0340714,0.0116478,0.0341269,0.0116393
45,2000,50,1500,0.0035456,0.0144535,0.0036883,0.0144709,0.0284613,0.0381448,0.0378554,0.0478049,0.0859599,0.0663494,0.0859608,0.0663499
46,2000,100,1500,0.0069121,0.0267418,0.0071355,0.0267414,0.0311724,0.0380272,0.0445067,0.0470814,0.1121936,0.0669748,0.1122840,0.0669793
47,2000,200,1500,0.0170686,0.0428964,0.0139347,0.0429092,0.0346687,0.0379358,0.0471209,0.0466568,0.2052767,0.0688862,0.2052190,0.0688851
